Order,Release,NR,NREF,NFIX,NAUTH,LINES_SUM,LINES_MAX,LINES_AVG,CHURN_SUM,CHURN_MAX,CHURN_AVG,CHGSET_SUM,CHGSET_MAX,CHGSET_AVG,AGE,AGE_WEIGHTED,Impl,LOC.A,LOC.M,LOC.D,Violations,Faultiness
First,110,6,0,0,0,0,0,0,0,0,0,0,0,0,44,14,0,0,0,0,4,TRUE
First,110,2,0,0,1,0,0,0,0,0,0,1,1,1,44,8,1,0,8,0,0,FALSE
First,110,10,0,1,1,23,23,23,15,15,15,6,4,3,44,7,1,19,3,4,10,FALSE
First,110,6,0,2,1,7,7,7,7,7,7,6,3,2,43,8,1,7,4,0,4,FALSE
First,110,2,0,1,0,0,0,0,0,0,0,0,0,0,43,7,0,0,0,0,0,FALSE
First,110,6,0,0,0,0,0,0,0,0,0,0,0,0,43,12,0,0,0,0,14,FALSE
First,110,10,0,1,1,4,4,2,4,4,2,8,6,4,43,15,2,4,5,0,16,FALSE
First,110,18,0,8,2,0,0,0,0,0,0,10,4,2,42,19,1,0,9,0,18,FALSE
First,110,47,0,19,1,4,4,1,2,2,1,19,6,2,42,15,3,3,30,1,0,FALSE
First,110,30,0,14,1,22,12,7,20,10,7,54,15,4,42,9,3,21,13,1,6,TRUE
First,110,107,0,41,1,434,185,24,200,89,12,78,15,2,42,18,17,317,116,117,0,TRUE
First,110,25,0,7,1,63,45,15,-27,-9,-7,43,15,4,42,7,4,18,8,45,0,TRUE
First,110,3,0,1,1,14,14,14,14,14,14,6,4,3,38,2,1,14,12,0,6,FALSE
First,110,5,0,0,1,0,0,0,0,0,0,1,1,1,37,18,1,0,12,0,0,FALSE
First,110,5,0,0,1,89,87,44,41,41,20,8,5,4,36,18,2,65,17,24,0,FALSE
First,110,6,0,0,1,2,2,0,0,0,0,6,5,3,36,18,2,1,3,1,0,FALSE
First,110,52,0,13,1,11,7,5,11,7,5,7,2,1,35,17,2,11,11,0,0,TRUE
First,110,5,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,0,0,0,FALSE
First,110,16,0,4,0,0,0,0,0,0,0,0,0,0,32,13,0,0,0,0,0,FALSE
First,110,2,0,1,0,0,0,0,0,0,0,0,0,0,31,13,0,0,0,0,0,FALSE
First,110,8,0,3,1,54,54,54,54,54,54,14,12,4,30,12,1,54,5,0,0,FALSE
First,110,14,0,7,1,0,0,0,0,0,0,2,2,2,30,12,0,0,0,0,0,FALSE
First,110,12,0,4,1,0,0,0,0,0,0,3,3,3,28,10,1,0,10,0,5,FALSE
